Average Time stamp, Data Rate
0,19226
1,17711
2,12129
3,12373
4,12853
5,10871
6,11619
7,12178
8,10941
9,10869
10,11285
11,11892
12,12623
13,13098
14,13684
15,14216
16,13439
17,13815
18,14281
19,14532
20,13917
21,14067
22,14343
23,14663
24,15113
25,15536
26,15915
27,16262
28,15819
29,15122
30,15175
31,14907
32,14990
33,15283
34,15521
35,15127
36,15361
37,15643
38,15919
39,15640
40,15628
41,15326
42,15283
43,15510
44,15730
45,15938
46,16143
47,16336
48,16518
49,16697
50,16401
51,16559
52,16723
53,16886
54,17038
55,17039
56,16698
57,16431
58,16133
59,16281
60,16430
61,16576
62,16718
63,16480
64,16592
65,16392
66,16464
67,16597
68,16726
69,16851
70,16972
71,17089
72,17202
73,17310
74,17417
75,17523
76,17625
77,17724
78,17822
79,17919
80,18011
81,18102
82,18191
83,18273
84,18358
85,18440
86,18252
87,18330
88,18407
89,18486
90,18319
91,18235
92,18314
93,18390
94,18390
95,18267
96,18341
97,18414
98,18414
99,18215
100,17983
101,18056
102,17898
103,17885
104,17590
105,17662
106,17734
107,17803
108,17871
109,17741
110,17766
111,17839
112,17907
113,17972
114,18039
115,18103
116,18167
117,18228
118,18228
119,17877
120,17941
121,17999
122,18056
123,18056
124,17739
125,17797
126,17854
127,17910
128,17966
129,17966
130,17414
131,17473
132,17533
133,17590
134,17647
135,17702
136,17702
137,17453
138,17290
139,17345
140,17398
141,17454
142,17509
143,17560
144,17560
145,17472
146,17525
147,17577
148,17577
149,17364
150,17364
151,17187
152,17187
153,17086
154,17135
155,17135
156,16794
157,16842
158,16842
159,16708
160,16708
161,16327
162,16328
163,16328
164,16199
165,15880
166,15929
167,15980
168,16031
169,16080
170,16128
171,16180
172,16229
173,16276
174,16323
175,16369
176,16413
177,16457
178,16502
179,16547
180,16547
181,16290
182,16334
183,16378
184,16329
185,16323
186,16324
187,16205
188,16205
189,15886
190,15886
191,15585
192,15585
193,15487
194,15531
195,15575
196,15618
197,15658
198,15699
199,15740
200,15698
201,15696
Average Time stamp, Data Rate
0,22988
1,23995
2,24617
3,18691
4,19846
5,20933
6,18095
7,19050
8,19871
9,17979
10,18643
11,17235
12,15962
13,16682
14,17352
15,17955
16,18491
17,17506
18,17716
19,18186
20,17486
21,17760
22,18166
23,18537
24,18878
25,19163
26,19462
27,19735
28,19992
29,20231
30,20457
31,20091
32,19962
33,20176
34,20378
35,20378
36,19934
37,20127
38,20305
39,20478
40,20646
41,20805
42,20957
43,21105
44,21242
45,21374
46,21500
47,21620
48,21735
49,21846
50,21954
51,22057
52,21743
53,21589
54,21214
55,21319
56,21423
57,21522
58,21618
59,21711
60,21801
61,21888
62,21973
63,22056
64,22137
65,22215
66,22290
67,22363
68,22110
69,22102
70,22102
71,21594
72,21672
73,21398
74,21074
75,21023
76,21103
77,21103
78,20566
79,20566
80,20205
81,20288
82,20369
83,20448
84,20525
85,20600
86,20673
87,20745
88,20815
89,20643
90,20628
91,20697
92,20764
93,20830
94,20895
95,20959
96,21021
97,21083
98,21083
99,20912
100,20973
101,21032
102,21091
